Community Name,Median Income,Population,Tax Base Per Capita,Population in EDAs
Indian Head Park,82767.00000000004,3750.9999999999977,38721.57451346307,0
Island Lake,73692.00000000004,8071.999999999998,28760.507556987122,0
Joliet,63358.99999999994,148099,34026.01869020049,0.3951
La Grange Park,90889.99999999996,13296.00000000001,28702.00285800243,0.3223
Lake Villa,92951.00000000006,8626.999999999993,32294.64750202851,0
Lakemoor,72994.99999999996,6013.999999999995,32159.172430994324,0
Lily Lake,113000,1032,38543.12790697676,0
Manhattan,93675.99999999993,7998.999999999996,27196.469058632334,0
McCook,58499.99999999999,220.99999999999991,884045.963800905,0
Monee,73485.00000000006,5122.000000000003,30396.39574385008,0
Niles,58292.99999999995,29184,95683.12383497806,0.3395
North Riverside,61303.99999999996,6489.0000000000055,125484.19448297116,0
Northlake,51947.99999999996,12234.999999999998,51625.89472823865,0.23
Oak Forest,73764.99999999997,27405.99999999998,22649.254980661153,0.0724
Oak Lawn,61398.00000000002,55510.999999999956,39909.246383599646,0.3649
Oakbrook Terrace,74500.00000000004,2119.000000000001,225471.06040585187,0.539
Oakwood Hills,91710.99999999993,2041.0000000000002,24768.197942185227,0
Old Mill Creek,85000,173.00000000000006,49241.61271676301,0
Olympia Fields,97014.00000000006,4833,51071.90006207322,0
Orland Hills,85854.99999999997,7082.000000000002,38342.20516803161,0
Palos Heights,80259.00000000001,12626,41385.48637731663,0
Palos Park,84609.00000000007,4778.000000000003,57689.618878191686,0
Peotone,80776.00000000003,4135.999999999997,42681.23331721472,0
Pingree Grove,78433,8976.000000000007,21290.888257575753,0
Plano,59631.00000000004,11669.99999999999,29296.864952870605,0
Port Barrington,125384.99999999997,1487.9999999999998,33122.64986559138,0
Prospect Heights,60929.000000000044,16014.000000000002,31642.96378169104,0.2875
Ringwood,108750.00000000006,815.9999999999999,42676.147058823546,0
Riverside,99063.00000000004,8645.000000000005,33896.89624060148,0
Rockdale,60331.000000000044,1931.0000000000002,72120.9218021751,0
Rolling Meadows,65173.00000000002,23747.99999999998,48138.50210544042,0.0678
Romeoville,73032.99999999996,39623.99999999996,45423.75497173429,0.3568
Rosemont,53080,4107.000000000001,290055.64767470176,0.3847
Sandwich,61655.999999999956,7370,35398.35848032563,0
Schiller Park,55998.999999999985,11515.000000000004,49730.21927920108,0
Sleepy Hollow,102187.99999999994,3277.0000000000027,30913.124809276753,0
Streamwood,80152.00000000001,39569.999999999985,31412.348091988864,0.2632
Symerton,61249.99999999995,94,106564.1382978724,0
Third Lake,113437.99999999996,1156.0000000000005,61169.8884083045,0
Tower Lakes,149063.0000000001,1235.0000000000005,48512.01457489876,0
Trout Valley,135000.00000000012,521,39080.140115163165,0
Union,63749.99999999995,556,106132.25359712234,0
Villa Park,72097.99999999999,21694.999999999985,52210.97082277023,0.2338
Virgil,89999.99999999997,331,28597.818731117808,0
Volo,93333.00000000003,5579.999999999995,38954.20734767027,0
Wadsworth,98408.99999999996,3681.0000000000005,48625.36131486011,0
Wauconda,76561,13620,41173.90389133625,0.1783
West Chicago,68413.00000000001,27044.999999999996,37816.28042151971,0.2698
Westchester,76784.00000000004,16278.999999999998,35976.47122059094,0.139
Wheeling,62477.99999999997,38878.00000000001,38203.860795308385,0.5769
Willow Springs,92031.00000000006,5667.999999999997,33106.273817925205,0
Wilmington,52867.00000000003,5741.999999999998,39610.98241031001,0
Wonder Lake,76249.99999999999,3884.000000000002,18925.955973223463,0
Woodstock,57093.99999999996,25268,34011.03890296025,0.1902
