GEOID,MUNI,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1764343,River Grove,7,4,3,4,8,40.55555555555556
1764278,Riverdale,6,1,1,1,7,18.333333333333332
1764421,Riverside,7,4,9,10,9,78.88888888888889
1764616,Robbins,9,1,1,1,4,18.333333333333332
1765338,Rolling Meadows,4,6,6,10,6,58.88888888888889
1765806,Roselle,4,5,8,10,9,71.11111111111111
1765819,Rosemont,9,10,4,7,8,63.33333333333333
1767769,Sauk Village,7,1,2,1,9,27.77777777777778
1768003,Schaumburg,1,8,7,9,9,65
1768081,Schiller Park,6,6,4,10,7,55.00000000000001
1770122,Skokie,1,7,7,10,5,58.333333333333336
1770564,South Barrington,9,9,10,10,10,96.66666666666667
1770629,South Chicago Heights,9,5,1,1,10,35
1770850,South Holland,4,3,5,5,2,34.44444444444444
1772520,Steger,7,2,3,8,6,40.55555555555556
1772676,Stickney,8,3,6,1,5,43.888888888888886
1772923,Stone Park,9,2,2,1,2,21.11111111111111
1773157,Streamwood,2,4,8,8,7,59.44444444444444
1773638,Summit,6,3,3,1,5,27.22222222222222
1775185,Thornton,10,3,5,10,4,56.111111111111114
1775484,Tinley Park,1,6,7,10,9,63.33333333333333
1776935,University Park,8,3,3,6,5,38.88888888888889
1780047,Westchester,5,5,7,9,6,61.66666666666667
1780242,Western Springs,6,6,10,10,10,86.66666666666667
1781087,Wheeling,2,5,5,5,3,36.11111111111111
1782049,Willow Springs,8,4,9,10,9,80.55555555555556
1782075,Wilmette,3,8,10,10,9,83.33333333333334
1782530,Winnetka,6,9,10,10,9,90
1783518,Worth,6,3,4,10,9,53.333333333333336
