GEOID,Municipality,Need Cohort,Population,Limited Revenue Capacity,Economic Need,Demographic Vulnerability
1705573,Berwyn,5,54391,5,9,10
1705599,Bethalto,1,9210,4,2,3
1705612,Bethany,1,1239,7,1,1
1705898,Biggsville,3,278,6,6,4
1705976,Big Rock,1,1129,2,2,6
1706028,Bingham,5,80,10,8,6
1706171,Bishop Hill,2,122,5,2,5
1706184,Bismarck,2,530,7,4,3
1706470,Blandinsville,3,595,7,6,5
1706587,Bloomingdale,2,21779,1,3,9
1706613,Bloomington,2,77330,2,3,8
1706704,Blue Island,5,22899,6,10,10
1706756,Blue Mound,4,1072,6,8,6
1706899,Bluffs,5,659,8,9,5
1706964,Bluford,5,669,9,9,4
1707133,Bolingbrook,3,74545,2,4,9
1707211,Bondville,2,431,4,4,6
1707224,Bone Gap,4,234,10,5,6
1707237,Bonfield,1,356,4,4,3
1707263,Bonnie,5,381,8,10,8
1707471,Bourbonnais,2,19462,3,4,7
1707510,Bowen,4,457,9,8,3
1707640,Braceville,3,759,4,7,5
1707692,Bradford,3,682,8,8,2
1707744,Bradley,3,15314,3,6,8
1707770,Braidwood,1,6186,3,4,4
1707913,Breese,1,4483,3,1,4
1708186,Bridgeport,3,1705,9,6,1
1708225,Bridgeview,4,16096,2,9,9
1708264,Brighton,1,2131,5,4,1
1708303,Brimfield,1,828,4,1,6
1708420,Broadlands,1,337,4,2,3
1708446,Broadview,3,7618,1,8,9
1708472,Broadwell,4,136,5,7,8
1708524,Brocton,5,293,10,7,5
1708576,Brookfield,2,18310,3,2,9
1708667,Brooklyn,5,698,9,10,9
1708706,Brookport,5,826,10,10,6
1708875,Broughton,2,186,9,4,1
1708953,Browning,3,123,10,4,1
1708979,Browns,2,129,8,5,1
1708992,Brownstown,4,727,9,9,1
1709148,Brussels,1,131,6,2,1
1709161,Bryant,4,213,9,8,4
1709304,Buckingham,2,278,7,4,3
1709317,Buckley,4,542,7,7,6
1709330,Buckner,5,440,9,9,4
1709356,Buda,4,501,8,6,5
1709434,Buffalo,2,480,6,4,2
1709447,Buffalo Grove,1,40494,1,1,9
1709531,Bull Valley,1,1084,1,1,7
1709538,Bulpitt,5,201,10,8,4
1709551,Buncombe,2,203,9,2,3
1709577,Bunker Hill,4,1687,6,8,6
1709642,Burbank,5,28289,4,9,9
1709681,Bureau Junction,5,300,8,8,9
1709759,Burlington,1,620,2,2,7
1709798,Burnham,5,4088,6,10,9
1709889,Burnt Prairie,4,48,8,7,4
1709980,Burr Ridge,1,10758,1,1,9
1710084,Bush,5,267,10,10,4
1710110,Bushnell,5,2866,8,9,5
1710149,Butler,2,165,9,1,4
1710240,Byron,2,3668,3,2,7
1710292,Cabery,3,246,7,6,3
1710370,Cahokia,5,13880,10,10,9
1710383,Cairo,5,2082,9,10,8
1710422,Caledonia,3,193,3,5,8
1710448,Calhoun,3,166,9,7,1
1710487,Calumet City,5,35913,6,10,9
1710513,Calumet Park,5,7602,6,10,9
1710591,Camargo,3,447,6,6,6
1710630,Cambria,5,1463,7,9,6
1710643,Cambridge,3,2078,6,6,6
1710695,Camden,5,78,10,10,7
1710773,Campbell Hill,3,310,7,5,3
1710877,Camp Point,3,1093,5,7,4
1710906,Campton Hills,1,11091,1,1,6
1710916,Campus,3,157,8,3,4
1711007,Canton,5,13506,6,9,7
1711033,Cantrall,1,133,6,1,1
1711124,Capron,5,1362,6,8,8
1711150,Carbon Cliff,5,1957,5,10,9
1711163,Carbondale,5,25083,6,9,8
1711176,Carbon Hill,1,335,3,1,5
1711202,Carlinville,4,5481,6,10,3
1711215,Carlock,1,557,4,1,5
1711228,Carlyle,3,3186,4,6,6
1711293,Carmi,3,4811,6,7,4
1711332,Carol Stream,2,39203,1,4,9
1711358,Carpentersville,5,37254,4,9,9
1711397,Carrier Mills,5,1552,10,9,4
1711462,Carrollton,1,2398,6,2,1
1711514,Carterville,3,5847,4,5,7
1711527,Carthage,3,2457,5,4,7
1711592,Cary,2,18067,2,2,9
1711618,Casey,4,2620,6,8,5
1711644,Caseyville,4,4110,5,7,7
1711774,Catlin,1,1926,5,2,4
1711826,Cave-In-Rock,5,280,9,10,3
1711982,Cedar Point,4,256,6,7,8
1712008,Cedarville,2,689,6,3,4
1712151,Central City,5,1115,9,10,9
1712164,Centralia,5,12210,7,10,7
1712203,Centreville,5,4897,10,10,8
1712268,Cerro Gordo,1,1347,7,3,1
1712294,Chadwick,2,516,7,4,3
1712385,Champaign,3,88909,3,5,9
1712450,Chandlerville,1,494,7,2,2
1712476,Channahon,2,13239,1,3,8
1712528,Chapin,3,478,7,8,1
1712567,Charleston,5,20117,7,9,7
1712684,Chatham,1,13008,2,1,6
1712710,Chatsworth,5,1115,9,8,7
1712801,Chebanse,3,971,4,5,6
1712931,Chenoa,1,1723,5,1,5
1712970,Cherry,1,453,6,3,2
1713074,Cherry Valley,2,2877,1,3,8
1713139,Chester,5,8213,8,9,8
1713165,Chesterfield,2,177,7,4,1
1714000,Chicago,3,2693976,1,8,9
1714026,Chicago Heights,5,29322,6,10,9
1714065,Chicago Ridge,4,13928,2,9,9
1714117,Chillicothe,3,6012,4,8,6
1714273,Chrisman,3,1265,8,3,7
1714286,Christopher,4,2717,8,10,1
1714351,Cicero,5,80796,7,10,10
1714442,Cisco,1,242,4,3,1
1714455,Cisne,5,660,8,9,7
1714468,Cissna Park,2,779,5,4,3
1714533,Claremont,3,170,8,7,1
1714572,Clarendon Hills,1,8752,1,1,8
1714715,Clay City,4,911,8,5,6
1714767,Clayton,4,673,8,7,4
1714845,Clear Lake,5,220,8,10,4
1714923,Cleveland,4,182,6,7,7
1714936,Clifton,3,1321,4,5,7
1715001,Clinton,4,6857,5,9,7
1715170,Coal City,1,5409,2,3,6
1715209,Coalton,2,286,7,5,1
1715235,Coal Valley,1,3723,3,1,3
1715261,Coatsburg,1,142,6,4,1
1715300,Cobden,5,1064,8,8,7
1715352,Coffeen,5,644,8,10,7
1715378,Colchester,3,1288,8,8,1
1715469,Coleta,1,152,7,2,2
1715495,Colfax,1,1013,6,3,2
1715599,Collinsville,3,24395,3,6,7
1715664,Colona,4,5120,5,8,8
1715807,Colp,5,210,9,10,4
1715833,Columbia,1,10513,2,1,6
1715846,Columbus,1,96,7,3,1
1715989,Compton,4,283,8,6,6
1716054,Concord,2,154,5,8,1
1716119,Congerville,1,492,3,1,4
1716210,Cooksville,1,179,3,3,2
1716366,Cordova,3,645,3,6,6
1716405,Cornell,3,455,7,5,5
1716470,Cortland,3,4408,4,4,8
1716613,Coulterville,4,895,6,7,6
1716691,Country Club Hills,5,16482,6,8,9
1716873,Countryside,2,5933,1,2,9
1717055,Cowden,3,579,9,8,1
1717185,Crainville,2,1400,3,4,7
1717289,Creal Springs,4,527,9,8,4
1717406,Crescent City,3,556,6,4,6
1717458,Crest Hill,4,20376,3,7,9
1717471,Creston,4,647,5,7,9
1717497,Crestwood,2,10706,1,4,7
1717523,Crete,3,8023,3,4,9
1717549,Creve Coeur,4,5169,7,9,5
1717783,Crossville,4,689,9,9,1
1717887,Crystal Lake,2,39829,2,2,8
1717991,Cuba,4,1170,8,8,4
1718030,Cullom,2,522,5,3,4
1718147,Curran,1,207,3,1,5
1718225,Cutler,4,413,10,8,1
1718251,Cypress,4,235,10,10,1
1718303,Dahlgren,3,502,8,5,2
1718342,Dakota,3,468,7,3,5
1718420,Dallas City,3,872,7,4,4
1718446,Dalton City,3,501,7,4,5
1718459,Dalzell,4,659,5,7,8
1718472,Damiansville,2,489,4,3,7
1718485,Dana,4,150,7,6,7
1718498,Danforth,3,552,7,4,6
1718537,Danvers,1,1100,5,1,5
1718563,Danville,5,30479,6,9,8
1718628,Darien,1,21628,1,1,8
1718706,Davis,2,627,5,3,5
1718719,Davis Junction,3,2344,4,7,7
1718745,Dawson,2,482,6,4,2
1718823,Decatur,4,70746,5,8,7
1718940,Deer Creek,1,663,4,1,1
1718992,Deerfield,1,18646,1,1,7
1719031,Deer Grove,3,45,3,8,6
1719083,Deer Park,1,4225,1,1,7
1719161,DeKalb,5,42847,4,9,9
1719200,De Land,1,425,6,1,1
1719226,Delavan,2,1616,5,4,5
1719499,De Pue,5,1683,9,8,9
1719616,De Soto,5,1502,8,9,7
1719642,Des Plaines,3,58899,1,5,9
1719681,Detroit,3,81,8,9,1
1719798,De Witt,1,176,7,2,2
1719837,Diamond,1,2506,3,2,6
1719915,Dieterich,1,595,2,2,6
1720045,Divernon,1,1105,4,4,3
1720123,Dix,2,440,6,4,3
1720149,Dixmoor,5,3563,7,10,10
1720162,Dixon,4,15115,5,7,8
1720292,Dolton,5,22348,7,10,9
1720305,Dongola,3,678,9,8,1
1720318,Donnellson,5,195,10,10,7
1720331,Donovan,4,274,7,7,7
1720370,Dorchester,3,138,7,6,5
1720526,Dover,3,153,8,3,6
1720565,Dowell,5,386,10,9,7
1720591,Downers Grove,1,49057,1,1,8
1720643,Downs,1,951,2,1,7
1720890,Du Bois,3,189,6,4,5
1721098,Dunfermline,3,283,7,7,1
1721176,Dunlap,1,1448,2,1,6
1721254,Dupo,3,3877,4,9,3
1721267,Du Quoin,4,5670,7,10,3
1721280,Durand,2,1394,5,3,5
1721358,Dwight,3,3984,3,7,5
1721410,Eagarville,5,120,8,10,5
1721540,Earlville,4,1587,5,7,7
1721553,East Alton,4,5954,7,9,3
1721579,East Brooklyn,3,105,4,7,5
1721605,East Cape Girardeau,5,286,9,10,4
1721618,East Carondelet,4,473,9,9,3
1721683,East Dubuque,1,1569,2,3,4
1721696,East Dundee,1,3216,1,2,7
1721826,East Galesburg,1,774,4,3,4
1721852,East Gillespie,5,262,6,10,7
1721904,East Hazel Crest,3,1497,4,5,9
1722073,East Moline,5,20645,5,9,9
1722151,Easton,3,287,8,4,3
1722164,East Peoria,1,22546,3,3,5
1722255,East St. Louis,5,26047,10,10,9
1722398,Eddyville,4,98,7,9,3
1722567,Edgewood,4,430,7,5,7
1722645,Edinburg,1,1012,6,3,1
1722697,Edwardsville,2,25233,1,4,7
1722736,Effingham,3,12511,2,6,7
1722931,Elburn,1,5997,1,1,7
1722957,El Dara,3,76,9,6,1
1723009,Eldorado,5,3910,9,10,3
1723022,Eldred,4,186,9,8,2
1723074,Elgin,4,110849,2,8,9
1723165,Elizabeth,3,722,4,7,6
1723191,Elizabethtown,4,273,8,10,3
1723256,Elk Grove Village,2,32400,1,2,9
1723269,Elkhart,3,390,1,7,8
1723373,Elkville,5,863,9,9,7
1723425,Elliott,3,269,7,8,1
1723503,Ellis Grove,2,348,8,3,1
1723529,Ellisville,3,92,9,7,1
1723555,Ellsworth,1,198,4,4,1
1723620,Elmhurst,1,46746,1,1,7
1723698,Elmwood,2,2011,4,2,6
1723724,Elmwood Park,4,24098,3,7,9
1723737,El Paso,1,2730,4,3,2
1723776,Elsah,2,606,7,2,4
1723841,Elvaston,3,154,7,6,5
1723945,Elwood,1,2226,1,2,7
1723971,Emden,1,460,4,2,5
1724062,Emington,2,108,7,3,4
1724166,Energy,3,1109,5,2,8
1724179,Enfield,4,552,9,7,4
1724348,Equality,5,518,10,10,6
1724374,Erie,1,1499,4,2,5
1724452,Essex,1,758,3,4,3
1724543,Eureka,2,5283,5,6,3
1724582,Evanston,2,73473,1,3,9
1724608,Evansville,2,647,6,6,1
1724634,Evergreen Park,2,19147,3,2,9
1724673,Ewing,5,296,9,9,6
1724699,Exeter,4,60,7,9,5
1724764,Fairbury,2,3622,4,5,4
1724816,Fairfield,4,4936,6,7,7
1724933,Fairmont City,5,2453,6,10,10
1724985,Fairmount,3,596,8,6,1
1725063,Fairview,1,471,6,4,1
1725141,Fairview Heights,3,16303,2,5,8
1725375,Farina,3,499,4,9,4
1725414,Farmer City,2,1936,5,6,1
1725440,Farmersville,2,671,5,5,4
1725531,Farmington,4,2223,5,9,5
1725713,Fayetteville,4,339,7,6,6
1725895,Ferris,3,143,7,4,4
1725960,Fidelity,5,112,10,9,7
1726012,Fieldon,2,218,7,5,1
1726077,Fillmore,5,310,9,10,7
1726116,Findlay,2,638,6,3,4
1726194,Fisher,1,1937,4,1,1
1726233,Fithian,2,449,6,4,4
1726311,Flanagan,3,1064,5,5,5
1726350,Flat Rock,2,307,9,4,1
1726454,Flora,5,4852,6,9,7
1726480,Florence,2,37,2,9,1
1726571,Flossmoor,2,9155,2,3,9
1726662,Foosland,1,98,8,1,1
1726710,Ford Heights,5,2682,10,10,9
1726753,Forest City,3,225,8,7,1
1726935,Forest Park,3,13704,2,4,9
1726987,Forest View,4,666,1,9,10
1727026,Forrest,4,1135,5,6,8
1727065,Forreston,3,1341,6,5,5
1727091,Forsyth,1,3479,1,1,5
1727442,Fox Lake,3,10451,2,5,8
1727533,Fox River Grove,1,4573,1,1,6
1727624,Frankfort,1,19373,1,1,7
1727663,Franklin,2,598,6,5,1
1727689,Franklin Grove,2,938,6,2,5
1727702,Franklin Park,3,17627,1,8,9
1727806,Freeburg,1,4242,3,2,4
1727858,Freeman Spur,5,279,10,9,3
1727884,Freeport,5,23775,7,9,7
1728144,Fulton,1,3315,4,2,5
1728170,Fults,1,28,5,1,1
1728261,Galatia,5,880,8,8,6
1728300,Galena,1,3158,1,2,8
1728326,Galesburg,4,30197,5,9,7
1728430,Galva,4,2478,4,9,7
1728638,Gardner,3,1381,4,7,5
1728742,Garrett,5,158,10,7,7
1728807,Gays,4,254,9,5,5
1728846,Geneseo,1,6495,2,2,1
1728872,Geneva,1,21809,1,1,7
1728898,Genoa,4,5237,4,8,7
1728963,Georgetown,5,3185,8,10,6
1729041,Germantown,1,1274,3,1,4
1729080,Germantown Hills,1,3423,2,1,4
1729093,German Valley,1,425,5,4,2
1729125,Gibson City,3,3233,3,9,4
1729145,Gifford,2,1048,4,3,5
1729171,Gilberts,1,8076,2,1,7
1729236,Gillespie,5,3088,7,10,7
1729275,Gilman,4,1652,4,8,9
1729392,Girard,2,2000,7,3,4
1729431,Gladstone,3,264,7,6,4
1729483,Glasford,1,957,6,3,1
1729496,Glasgow,3,132,9,5,4
1729639,Glen Carbon,1,12850,2,1,7
1729652,Glencoe,1,8826,1,1,7
1729730,Glendale Heights,3,33617,2,7,9
1729756,Glen Ellyn,1,27714,1,1,7
1729938,Glenview,1,47308,1,1,9
1730029,Glenwood,5,8715,5,9,9
1730094,Godfrey,1,17400,3,2,5
1730120,Godley,3,756,7,7,4
1730133,Golconda,5,631,8,10,4
1730159,Golden,3,617,6,7,4
1730250,Golden Gate,1,65,5,4,1
1730328,Golf,1,493,1,1,7
1730445,Goodfield,1,986,1,1,3
1730458,Good Hope,3,364,7,6,5
1730575,Goreville,1,1060,3,2,3
1730588,Gorham,5,219,8,10,5
1730653,Grafton,2,640,1,8,3
1730757,Grand Ridge,2,525,5,3,6
1730770,Grand Tower,5,564,10,10,5
1730835,Grandview,5,1383,8,10,6
1730926,Granite City,4,28158,5,9,7
1730978,Grantfork,1,343,4,2,4
1730991,Grant Park,3,1249,3,5,7
1731017,Granville,1,1308,5,3,3
1731121,Grayslake,2,20725,2,2,8
1731165,Grayville,3,1565,7,8,1
1731368,Greenfield,3,988,7,9,2
1731446,Green Oaks,1,3897,1,1,8
1731524,Greenup,2,1490,4,9,1
1731563,Green Valley,3,643,6,4,5
1731576,Greenview,1,724,6,2,2
1731589,Greenville,5,6417,6,9,7
1731667,Greenwood,1,226,1,2,7
1731732,Gridley,1,1398,4,1,5
1731771,Griggsville,4,1150,8,9,2
1731992,Gulf Port,1,47,1,6,4
1732018,Gurnee,2,30378,1,2,9
1732200,Hainesville,3,3557,3,5,9
1732395,Hamburg,4,119,8,10,3
1732408,Hamel,1,810,2,2,2
1732434,Hamilton,2,2715,4,7,2
1732499,Hammond,3,479,7,6,4
1732525,Hampshire,1,6251,1,2,8
1732564,Hampton,4,1742,3,9,9
1732616,Hanaford,5,322,10,9,6
1732668,Hanna City,2,1192,4,1,7
1732707,Hanover,5,768,8,8,6
1732746,Hanover Park,4,37426,3,7,9
1732850,Hardin,4,900,6,10,3
1732967,Harmon,3,111,4,4,7
1733136,Harrisburg,5,8513,7,10,7
1733227,Harristown,2,1292,5,6,3
1733279,Hartford,2,1341,1,9,3
1733318,Hartsburg,2,307,5,2,5
1733331,Harvard,5,9060,4,10,9
1733357,Harvel,3,211,7,4,4
1733383,Harvey,5,24408,7,10,9
1733435,Harwood Heights,3,8333,1,7,9
1733513,Havana,3,2987,7,10,1
1733630,Hawthorn Woods,1,8666,1,1,8
1733695,Hazel Crest,5,13565,7,8,9
1733851,Hebron,3,1183,3,5,7
1733877,Hecker,1,478,5,1,1
1734007,Henderson,2,244,6,2,5
1734098,Hennepin,2,705,1,3,8
1734137,Henning,2,234,3,4,5
1734163,Henry,2,2209,5,8,1
1734332,Herrick,4,431,10,8,1
1734358,Herrin,4,12687,5,8,7
1734384,Herscher,2,1504,3,5,6
1734423,Hettick,4,171,8,9,4
1734449,Heyworth,2,2867,4,1,7
1734514,Hickory Hills,4,13710,3,8,9
1734553,Hidalgo,3,105,9,5,2
1734670,Highland,3,9834,3,5,7
1734722,Highland Park,1,29515,1,1,7
1734865,Highwood,3,5224,2,5,9
1734982,Hillcrest,4,1225,5,7,9
1735047,Hillsboro,4,5970,8,7,6
1735073,Hillsdale,3,505,6,6,6
1735086,Hillside,3,7933,2,7,9
1735203,Hillview,4,177,10,8,2
1735268,Hinckley,1,2050,2,3,5
1735281,Hindsboro,5,296,9,7,6
1735307,Hinsdale,1,17637,1,1,8
1735385,Hodgkins,4,1971,1,9,9
1735398,Hoffman,5,483,6,10,7
1735411,Hoffman Estates,2,50932,1,2,9
1735515,Holiday Hills,3,579,3,4,8
1735671,Hollowayville,5,86,10,8,9
1735814,Homer,1,1159,5,2,3
1735835,Homer Glen,1,24472,1,1,8
1735866,Hometown,4,4177,6,7,8
1735879,Homewood,3,18703,3,3,9
1736061,Hoopeston,5,5009,8,10,9
1736074,Hooppole,2,191,7,4,1
1736126,Hopedale,1,825,3,2,4
1736150,Hopewell,1,398,3,3,1
1736190,Hopkins Park,5,598,9,10,9
1736347,Hoyleton,3,494,7,5,6
1736438,Hudson,1,1813,3,1,5
1736477,Huey,3,163,7,6,2
1736516,Hull,4,433,8,8,5
1736542,Humboldt,3,418,8,8,2
1736568,Hume,4,347,8,7,5
1736750,Huntley,1,27228,1,1,8
1736815,Hurst,5,786,9,10,4
1736841,Hutsonville,1,522,8,2,1
1737127,Illiopolis,2,842,6,4,2
1737179,Ina,5,2279,10,10,8
1737218,Indian Creek,2,535,1,2,9
1737257,Indian Head Park,1,3719,1,1,8
1737348,Indianola,3,257,9,6,1
1737439,Industry,3,438,9,5,4
1737608,Inverness,1,7376,1,1,9
1737621,Iola,4,136,9,8,3
1737647,Ipava,5,421,8,9,6
1737712,Iroquois,4,137,6,7,7
1737738,Irving,4,462,9,10,1
1737777,Irvington,3,613,7,5,6
1737803,Irwin,2,74,3,5,6
1737894,Island Lake,2,8020,2,3,8
1737907,Itasca,1,9805,1,1,9
1737933,Iuka,4,464,9,6,4
1737998,Ivesdale,1,252,4,2,3
1738115,Jacksonville,4,18603,5,9,7
1738323,Jeffersonville,5,359,10,9,7
1738349,Jeisyville,4,101,9,8,4
1738375,Jerome,3,1588,3,6,8
1738414,Jerseyville,3,8200,4,5,7
1738427,Jewett,5,220,9,7,6
1738479,Johnsburg,1,6368,1,1,5
1738531,Johnsonville,5,77,10,9,7
1738544,Johnston City,4,3389,9,9,1
1738570,Joliet,3,147344,2,7,9
1738635,Jonesboro,3,1700,7,6,2
1738674,Joppa,4,303,10,6,3
1738739,Joy,5,382,7,10,5
1738778,Junction,5,111,10,10,6
1738791,Junction City,5,466,10,10,3
1738830,Justice,5,12608,5,10,9
1738856,Kampsville,4,304,8,10,3
1738869,Kane,4,404,10,9,2
1738895,Kaneville,1,480,2,2,6
1738921,Kangley,5,233,8,8,7
1738934,Kankakee,5,26024,7,10,9
1738986,Kansas,3,719,8,6,1
1739038,Kappa,1,240,4,3,2
1739077,Karnak,5,434,10,10,7
1739129,Kaskaskia,4,13,1,10,8
1739233,Keenes,4,80,10,6,4
1739259,Keensburg,4,201,9,5,5
1739298,Keithsburg,5,580,8,10,5
1739324,Kell,4,207,10,6,4
1739441,Kempton,3,206,8,7,3
1739519,Kenilworth,1,2475,1,1,6
1739532,Kenney,2,313,5,3,6
1739727,Kewanee,5,12339,8,10,8
1739753,Keyesport,3,405,7,6,5
1739857,Kilbourne,4,276,8,10,1
1739883,Kildeer,1,4012,1,1,8
1739909,Kincaid,4,1372,8,8,4
1739922,Kinderhook,4,208,7,8,5
1740065,Kingston,3,1169,3,8,7
1740091,Kingston Mines,1,282,5,3,1
1740117,Kinmundy,3,755,9,8,1
1740143,Kinsman,3,97,4,6,6
1740156,Kirkland,4,1729,4,8,7
1740182,Kirkwood,2,675,7,3,2
1740416,Knoxville,3,2726,5,5,5
1740559,Lacon,3,1739,6,5,4
1740598,Ladd,4,1195,5,7,8
1740676,La Fayette,4,200,10,8,2
1740767,La Grange,1,15322,1,1,7
1740793,La Grange Park,1,13178,2,1,8
1740832,La Harpe,4,1143,8,7,4
1740884,Lake Barrington,1,4868,1,1,7
1740910,Lake Bluff,1,5562,1,1,7
1741105,Lake Forest,1,19446,1,1,7
1741183,Lake in the Hills,1,28634,2,1,8
1741214,Lake Ka-Ho,5,221,9,10,5
1741326,Lakemoor,2,5967,2,2,8
1741586,Lake Villa,1,8573,2,1,8
1741651,Lakewood,1,4001,1,1,7
1741742,Lake Zurich,1,19877,1,1,9
1741794,La Moille,1,679,6,3,2
1741859,Lanark,3,1333,6,6,6
1742028,Lansing,5,27402,4,9,9
1742080,La Prairie,3,45,5,7,4
1742171,La Rose,5,130,8,7,7
1742184,LaSalle,4,8986,4,8,8
1742249,Latham,1,364,5,2,4
1742405,Lawrenceville,5,4399,8,9,5
1742457,Leaf River,2,406,5,2,6
1742496,Lebanon,2,4238,5,3,5
1742587,Lee,3,327,5,5,5
1742756,Leland,2,914,4,4,6
1742769,Leland Grove,1,1464,1,1,7
1742795,Lemont,1,17291,1,1,8
1742834,Lena,2,2719,4,3,5
1742860,Lenzburg,4,487,7,6,6
1742912,Leonore,4,123,6,6,7
1742938,Lerna,3,273,9,3,5
1742971,Le Roy,1,3493,4,4,1
1743055,Lewistown,4,2146,7,9,5
1743094,Lexington,1,2026,3,1,5
1743133,Liberty,1,503,5,4,1
1743250,Libertyville,1,20205,1,1,8
1743406,Lily Lake,1,1023,1,1,5
1743445,Lima,2,148,7,4,1
1743510,Limestone,1,1522,3,1,1
1743536,Lincoln,3,13524,6,7,5
1743666,Lincolnshire,1,7893,1,1,8
1743744,Lincolnwood,2,12245,1,3,9
1743770,Lindenhurst,2,14216,2,2,8
1743900,Lisbon,3,308,4,5,9
1743939,Lisle,1,23270,1,1,8
1743965,Litchfield,3,6715,4,9,4
1744056,Littleton,5,160,9,10,7
1744082,Little York,2,311,9,3,2
1744121,Liverpool,3,123,10,7,1
1744160,Livingston,3,804,7,4,4
1744173,Loami,1,750,6,3,1
1744225,Lockport,1,25615,2,2,7
1744264,Loda,4,398,7,7,6
1744381,Lomax,3,401,8,5,2
1744407,Lombard,2,44303,1,2,9
1744446,London Mills,3,376,9,7,1
1744498,Long Creek,2,1273,3,4,6
1744524,Long Grove,1,7905,1,1,9
1744576,Long Point,3,214,6,5,5
1744602,Longview,2,148,8,2,3
1744719,Loraine,2,302,8,4,1
1744823,Lostant,4,480,6,6,7
1744927,Louisville,4,1095,7,8,6
1745031,Loves Park,3,23371,3,6,8
1745044,Lovington,3,1026,8,4,5
1745174,Ludlow,3,356,7,3,5
1745278,Lyndon,2,610,7,2,5
1745369,Lynnville,2,111,9,4,1
1745421,Lynwood,4,9194,4,8,9
1745434,Lyons,4,10372,4,7,9
1745525,McClure,,301,,10,4
