"","GEOID","MUNI","COHORT","WEIGHTED_SCORE","SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP"
"263",1779397,"Wayne","1",66.6666666666667,2,7,9,10
"264",1780060,"West Chicago","1",66.6666666666667,8,5,5,10
"265",1780125,"West Dundee","2",63.8888888888889,4,6,7,10
"266",1780047,"Westchester","2",58.3333333333333,7,5,6,7
"267",1780242,"Western Springs","1",80.5555555555556,6,7,10,10
"268",1780645,"Westmont","1",66.6666666666667,8,8,4,8
"269",1781048,"Wheaton","1",75,9,6,7,9
"270",1781087,"Wheeling","2",61.1111111111111,9,5,4,8
"271",1782049,"Willow Springs","2",55.5555555555556,4,4,7,9
"272",1781919,"Willowbrook","1",72.2222222222222,5,9,6,10
"273",1782075,"Wilmette","1",88.8888888888889,8,8,10,10
"274",1782101,"Wilmington","3",41.6666666666667,3,5,2,9
"275",1782400,"Winfield","1",66.6666666666667,5,5,9,9
"276",1782530,"Winnetka","1",88.8888888888889,6,10,10,10
"277",1782686,"Winthrop Harbor","3",44.4444444444444,4,2,5,9
"278",1782855,"Wonder Lake","2",47.2222222222222,3,2,6,10
"279",1782985,"Wood Dale","2",63.8888888888889,6,8,4,9
"280",1783245,"Woodridge","1",69.4444444444444,8,6,6,9
"281",1783349,"Woodstock","2",58.3333333333333,8,4,4,9
"282",1783518,"Worth","4",27.7777777777778,5,2,1,6
"283",1784038,"Yorkville","1",69.4444444444444,7,5,7,10
"284",1784220,"Zion","3",41.6666666666667,8,2,2,7
