MUNI,INC_SCORE,TBPC_SCORE,TB_SCORE,POP_SCORE,FINAL_SCORE,COHORT
Robbins,0,0,2,5,5.5,4
Rockdale,6,17,4,3,42.0,2
Rolling Meadows,8,13,13,13,57.5,1
Romeoville,10,12,15,16,63.5,1
Roselle,11,11,12,13,57.5,1
Rosemont,4,20,13,5,58.0,1
Round Lake,10,3,7,11,35.5,3
Round Lake Beach,8,6,11,14,44.5,2
Round Lake Heights,9,1,2,4,20.0,4
Round Lake Park,2,1,3,7,12.5,4
Sandwich,7,9,7,7,38.0,3
Sauk Village,1,0,3,9,10.5,4
Schaumburg,11,19,18,17,80.5,1
Schiller Park,5,13,10,9,46.5,2
Shorewood,15,15,12,11,68.5,1
Skokie,9,16,18,17,73.0,1
Sleepy Hollow,16,8,3,4,42.5,2
South Barrington,20,20,10,5,77.5,1
South Chicago Heights,0,10,4,4,23.0,4
South Elgin,14,12,13,13,65.0,1
South Holland,7,6,10,12,40.5,2
Spring Grove,18,10,6,6,54.0,2
St. Charles,14,18,16,15,79.5,1
Steger,2,3,5,8,19.0,4
Stickney,7,4,4,6,25.5,3
Stone Park,1,2,3,5,11.5,4
Streamwood,11,8,13,16,56.0,1
Sugar Grove,17,11,8,8,58.0,1
Summit,3,5,7,9,27.0,3
Symerton,7,18,1,0,39.0,3
Third Lake,18,15,3,2,55.0,2
Thornton,5,5,3,3,21.0,4
Tinley Park,10,13,17,17,68.5,1
Tower Lakes,20,13,2,2,53.5,2
Trout Valley,20,10,1,1,47.0,2
Union,8,20,2,1,45.5,2
University Park,3,4,4,6,19.5,4
Vernon Hills,15,19,16,14,82.0,1
Villa Park,9,14,13,12,60.0,1
Virgil,14,5,0,0,28.5,3
Volo,15,13,6,5,53.5,2
Wadsworth,15,13,5,4,51.5,2
Warrenville,12,13,10,10,57.5,1
Wauconda,11,11,9,10,51.5,2
Waukegan,3,4,15,18,42.0,2
Wayne,19,17,5,3,63.0,1
West Chicago,9,10,13,14,55.0,2
West Dundee,12,14,8,7,54.5,2
Westchester,11,9,10,11,50.5,2
Western Springs,20,15,11,10,74.0,1
Westmont,6,17,15,13,63.5,1
Wheaton,15,13,16,17,74.5,1
Wheeling,7,10,14,16,54.5,2
Willow Springs,14,9,5,6,45.0,2
Willowbrook,9,19,11,7,62.0,1
Wilmette,20,18,16,14,88.0,1
Wilmington,4,10,6,6,33.0,3
Winfield,16,10,8,8,55.0,2
Winnetka,20,20,15,9,87.0,1
Winthrop Harbor,12,4,4,6,33.0,3
Wonder Lake,10,3,3,5,26.5,3
Wood Dale,9,16,12,10,60.5,1
Woodridge,11,12,15,15,64.5,1
Woodstock,5,9,12,14,46.0,2
Worth,4,4,6,9,25.5,3
Yorkville,15,11,11,11,61.0,1
Zion,2,3,9,13,27.5,3
