GEOID,MUNI,SCORE_YEAR3,SCORE_YEAR2,SCORE_YEAR1,WEIGHTED_SCORE_3YR,COHORT_3YR
1714572,Clarendon Hills,62.96296296296296,62.96296296296296,62.96296296296296,62.96296296296296,2
1715170,Coal City,18.51851851851852,29.629629629629626,22.22222222222222,23.456790123456788,4
1716691,Country Club Hills,33.33333333333333,33.33333333333333,29.629629629629626,32.09876543209876,4
1716873,Countryside,55.55555555555556,51.85185185185185,55.55555555555556,54.32098765432099,2
1717458,Crest Hill,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,4
1717497,Crestwood,48.148148148148145,44.44444444444444,48.148148148148145,46.913580246913575,2
1717523,Crete,37.03703703703704,33.33333333333333,33.33333333333333,34.5679012345679,4
1717887,Crystal Lake,70.37037037037037,70.37037037037037,70.37037037037037,70.37037037037037,1
1718628,Darien,62.96296296296296,66.66666666666666,66.66666666666666,65.43209876543209,1
1719083,Deer Park,70.37037037037037,74.07407407407408,70.37037037037037,71.60493827160495,1
1718992,Deerfield,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,1
1719642,Des Plaines,62.96296296296296,62.96296296296296,62.96296296296296,62.96296296296296,2
1719837,Diamond,11.11111111111111,11.11111111111111,11.11111111111111,11.111111111111109,4
1720149,Dixmoor,3.7037037037037033,7.4074074074074066,3.7037037037037033,4.938271604938271,4
1720292,Dolton,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1720591,Downers Grove,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,1
1721696,East Dundee,40.74074074074074,40.74074074074074,37.03703703703704,39.50617283950617,3
1721904,East Hazel Crest,0,3.7037037037037033,3.7037037037037033,2.4691358024691357,4
1722931,Elburn,51.85185185185185,51.85185185185185,51.85185185185185,51.85185185185185,2
1723074,Elgin,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1723256,Elk Grove Village,70.37037037037037,74.07407407407408,70.37037037037037,71.60493827160495,1
1723620,Elmhurst,85.18518518518519,88.88888888888889,88.88888888888889,87.65432098765432,1
1723724,Elmwood Park,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,3
1723945,Elwood,37.03703703703704,29.629629629629626,25.925925925925924,30.864197530864192,4
1724582,Evanston,66.66666666666666,70.37037037037037,70.37037037037037,69.1358024691358,1
1724634,Evergreen Park,55.55555555555556,55.55555555555556,55.55555555555556,55.555555555555564,2
1726571,Flossmoor,51.85185185185185,48.148148148148145,55.55555555555556,51.85185185185185,2
1726710,Ford Heights,0,0,0,0,4
1726935,Forest Park,44.44444444444444,48.148148148148145,44.44444444444444,45.679012345679006,2
1726987,Forest View,51.85185185185185,55.55555555555556,44.44444444444444,50.617283950617285,2
1727442,Fox Lake,40.74074074074074,44.44444444444444,40.74074074074074,41.97530864197531,3
1727533,Fox River Grove,48.148148148148145,48.148148148148145,48.148148148148145,48.148148148148145,2
1727624,Frankfort,77.77777777777779,81.48148148148148,77.77777777777779,79.01234567901236,1
1727702,Franklin Park,51.85185185185185,51.85185185185185,51.85185185185185,51.85185185185185,2
1728872,Geneva,74.07407407407408,74.07407407407408,77.77777777777779,75.30864197530865,1
1729171,Gilberts,51.85185185185185,44.44444444444444,44.44444444444444,46.913580246913575,2
1729756,Glen Ellyn,74.07407407407408,77.77777777777779,77.77777777777779,76.54320987654322,1
1729652,Glencoe,81.48148148148148,81.48148148148148,81.48148148148148,81.48148148148148,1
1729730,Glendale Heights,51.85185185185185,55.55555555555556,55.55555555555556,54.32098765432099,2
1729938,Glenview,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888887,1
1730029,Glenwood,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1730120,Godley,0,0,0,0,4
1730328,Golf,59.25925925925925,62.96296296296296,62.96296296296296,61.728395061728385,2
1731121,Grayslake,59.25925925925925,55.55555555555556,62.96296296296296,59.25925925925926,2
1731446,Green Oaks,59.25925925925925,62.96296296296296,51.85185185185185,58.02469135802469,2
1731667,Greenwood,22.22222222222222,29.629629629629626,25.925925925925924,25.925925925925924,4
1732018,Gurnee,74.07407407407408,74.07407407407408,74.07407407407408,74.07407407407408,1
1732200,Hainesville,44.44444444444444,29.629629629629626,37.03703703703704,37.03703703703703,3
1732525,Hampshire,48.148148148148145,44.44444444444444,40.74074074074074,44.44444444444445,3
1732746,Hanover Park,59.25925925925925,51.85185185185185,55.55555555555556,55.55555555555555,2
1733331,Harvard,25.925925925925924,25.925925925925924,25.925925925925924,25.925925925925924,4
1733383,Harvey,22.22222222222222,22.22222222222222,22.22222222222222,22.222222222222218,4
1733435,Harwood Heights,40.74074074074074,44.44444444444444,44.44444444444444,43.20987654320987,3
1733630,Hawthorn Woods,66.66666666666666,66.66666666666666,70.37037037037037,67.90123456790123,1
1733695,Hazel Crest,18.51851851851852,22.22222222222222,18.51851851851852,19.753086419753085,4
1733851,Hebron,18.51851851851852,14.814814814814813,14.814814814814813,16.049382716049383,4
1734514,Hickory Hills,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,3
1734722,Highland Park,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888887,1
1734865,Highwood,37.03703703703704,33.33333333333333,37.03703703703704,35.80246913580247,4
1735086,Hillside,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,3
1735307,Hinsdale,88.88888888888889,88.88888888888889,88.88888888888889,88.88888888888887,1
1735385,Hodgkins,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,3
1735411,Hoffman Estates,66.66666666666666,62.96296296296296,62.96296296296296,64.19753086419753,2
