GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1764304,River Forest,76.85185185185185,1
1764343,River Grove,32.407407407407405,4
1764278,Riverdale,12.962962962962962,4
1764421,Riverside,64.81481481481481,2
1764538,Riverwoods,78.70370370370371,1
1764616,Robbins,5.5555555555555545,4
1764902,Rockdale,50,2
1765338,Rolling Meadows,64.81481481481481,2
1765442,Romeoville,64.81481481481481,2
1765806,Roselle,69.44444444444444,1
1765819,Rosemont,50.925925925925924,2
1766027,Round Lake,42.592592592592595,3
1766040,Round Lake Beach,42.592592592592595,3
1766053,Round Lake Heights,27.777777777777782,4
1766066,Round Lake Park,14.814814814814815,4
1767548,Sandwich,50.925925925925924,2
1767769,Sauk Village,11.111111111111109,4
1768003,Schaumburg,82.4074074074074,1
1768081,Schiller Park,58.333333333333336,2
1769758,Shorewood,77.77777777777779,1
1770122,Skokie,74.07407407407408,1
1770161,Sleepy Hollow,56.48148148148149,2
1770564,South Barrington,78.70370370370371,1
1770629,South Chicago Heights,15.740740740740739,4
1770720,South Elgin,72.22222222222221,1
1770850,South Holland,38.88888888888889,3
1772052,Spring Grove,66.66666666666666,1
1766703,St. Charles,80.55555555555556,1
1772520,Steger,31.48148148148148,4
1772676,Stickney,17.59259259259259,4
1772923,Stone Park,11.111111111111109,4
1773157,Streamwood,62.96296296296296,2
1773391,Sugar Grove,68.51851851851852,1
1773638,Summit,15.740740740740742,4
1774275,Symerton,55.555555555555564,2
1775081,Third Lake,63.888888888888886,2
1775185,Thornton,38.88888888888889,3
1775484,Tinley Park,73.14814814814815,1
1775874,Tower Lakes,63.888888888888886,2
1776160,Trout Valley,61.111111111111114,2
1776706,Union,53.7037037037037,2
1776935,University Park,28.703703703703706,4
1777694,Vernon Hills,85.18518518518519,1
1777993,Villa Park,62.96296296296296,2
1778175,Virgil,46.2962962962963,2
1778227,Volo,62.03703703703704,2
1778370,Wadsworth,61.111111111111114,2
1778929,Warrenville,67.59259259259258,1
1779267,Wauconda,60.18518518518519,2
1779293,Waukegan,34.25925925925926,4
1779397,Wayne,68.5185185185185,1
1780060,West Chicago,60.18518518518519,2
1780125,West Dundee,65.74074074074073,1
1780047,Westchester,62.03703703703704,2
